시리얼,주소,위도,경도
V02Q1940655,서울특별시 종로구 북촌로6길 1,37.580050842,126.985146172
V02Q1940539,서울특별시 종로구 이화장길 33,37.576920428,127.00451366
V02Q1940737,서울특별시 종로구 평창10길 5,37.605426219,126.967434876
V02Q1940721,서울특별시 종로구 혜화로 2,37.586058682,127.000838323
V02Q1940522,서울특별시 종로구 지봉로13길 82,37.57707481,127.012366545
V02Q1940499,서울특별시 종로구 사직로8길 13,37.574960033,126.970272261
V02Q1940695,서울특별시 종로구 송월길 154,37.571836554,126.962031834
V02Q1940716,서울특별시 종로구 통일로14길 36,37.575952972,126.958181622
V02Q1940649,서울특별시 종로구 경희궁1길 15,37.5713404,126.9705036
V02Q1940232,서울특별시 종로구 삼청로 107,37.585032927,126.981875888
V02Q1940710,서울특별시 종로구 지봉로 86,37.577843118,127.01562884
V02Q1940796,서울특별시 종로구 종로65길 10,37.574848152,127.019982768
V02Q1940719,서울특별시 종로구 삼일대로30길 47,37.574464343,126.990243912
V02Q1940818,서울특별시 종로구 지봉로 8-6,37.570741306,127.016374099
V02Q1940720,서울특별시 종로구 창신길 62,37.574432258,127.010888926
V02Q1940837,서울특별시 종로구 자하문로 92,37.58414084,126.970563131
V02Q1940859,서울특별시 종로구 창의문로 145,37.592431514,126.964090572
V02Q1940857,서울특별시 종로구 북촌로 134-3,37.588018361,126.984056948
V02Q1940881,서울특별시 종로구 대학로 104,37.580372067,127.003028403
V02Q1940843,서울특별시 종로구 북촌로 20-27,37.578936514,126.98591264
V02Q1940822,서울특별시 종로구 통일로14길 19,37.575423844,126.957780596
V02Q1940797,서울특별시 종로구 자하문로 260,37.597396662,126.963352166
V02Q1940883,서울측별시 종로구 사직동 262-197,37.576561959,126.965536299
V02Q1940886,서울특별시 종로구 삼청로4길 22,37.582398821,126.982104196
V02Q1940807,서울특별시 종로구 종로66가길 35,37.573115622,127.020059004
V02Q1940848,서울특별시 종로구 이화장1나길 15,37.577698183,127.006748049
V02Q1940687,서울특별시 종로구 낙산1길 21,37.581173137,127.00573413
V02Q1940827,서울측별시 종로구 동숭동 6-31,37.583250447,127.005814953
V02Q1940839,서울특별시 종로구 수표로22길 22,37.571218817,126.990608589
V02Q1940718,서울특별시 종로구 율곡로22나길 21,37.573899271,127.004658247
V02Q1940810,서울특별시 종로구 종로53길 29,37.573677936,127.013204061
V02Q1940875,서울특별시 종로구 창신길 163,37.578529489,127.009067983
V02Q1940844,서울특별시 종로구 지봉로13길 14,37.579110321,127.01458637
V02Q1940802,서울특별시 종로구 평창문화로 48,37.605283318,126.966737815
V02Q1940877,서울특별시 종로구 진흥로 438-8,37.607870193,126.956372518
V02Q1940817,서울특별시 종로구 성균관로5길 25-13,37.584479904,126.996923175
V02Q1940840,서울특별시 종로구 창경궁로26길 7,37.58188025,126.998152524
V02Q1940808,서울특별시 종로구 송월길 2,37.568745241,126.968764924
V02Q1940841,서울특별시 종로구 종로35가길 19,37.572037343,127.005041449
V02Q1940536,서울특별시 중구 마른내로10길 17,37.563560918,126.997219571
V02Q1940570,서울특별시 중구 동호로15길 50,37.554358673,127.008042572
V02Q1940436,서울특별시 중구 남대문시장10길 2,37.560575664,126.979644431
V02Q1940541,서울특별시 중구 세종대로 74,37.562768984,126.976764495
V02Q1940546,서울측별시 중구 신당동 152-7,37.564448469,127.022110315
V02Q1940568,서울특별시 중구 다산로33다길 3,37.562850728,127.013260366
V02Q1940598,서울특별시 중구 청구로8길 41,37.56225664,127.01426035
V02Q1940562,서울특별시 중구 을지로12길 18,37.56554217,126.991035069
V02Q1940564,서울특별시 중구 장충단로6가길 32,37.560859569,127.008563128
V02Q1940508,서울특별시 중구 중림로4길 24,37.558188462,126.964270835
V02Q1940599,서울특별시 중구 다산로24길 77,37.557384557,127.016557496
V02Q1940553,서울특별시 중구 필동로 6-1,37.560826891,126.996000954
V02Q1940540,서울특별시 중구 명동9길 35,37.565310977,126.9843718
V02Q1940500,서울특별시 중구 다산로38길 66-35,37.561552657,127.018748694
V02Q1940527,서울특별시 중구 마장로15길 20,37.568985838,127.021883159
V02Q1940053,서울특별시 중구 소공로 116,37.56500075,126.978715858
V02Q1940529,서울측별시 중구 신당동 837-4,37.559400896,127.02043854
V02Q1940596,서울특별시 중구 퇴계로10길 8,37.559046312,126.98031176
V02Q1940573,서울특별시 중구 을지로39길 41,37.568390808,127.005469263
V02Q1940566,서울특별시 중구 을지로19길 13,37.567234241,126.995184955
V02Q1940498,서울특별시 중구 퇴계로 210-19,37.560812132,126.995525523
V02Q1940604,서울특별시 중구 다동길 31,37.567837219,126.98094143
V02Q1940597,서울특별시 중구 퇴계로12가길 15,37.556195026,126.981160888
V02Q1940554,서울특별시 중구 동호로 218,37.557286013,127.009175344
V02Q1940544,서울특별시 중구 퇴계로50길 22,37.56174971,127.001153
V02Q1940302,서울측별시 중구 순화동 221,37.559509204,126.971893203
V02Q1940438,서울특별시 중구 서소문로 89,37.56240118,126.9705698
V02Q1940567,서울특별시 중구 창경궁로5다길 22,37.567955619,126.996509941
V02Q1940602,서울측별시 중구 회현동1가 100-115,37.554623618,126.98055898
V02Q1940608,서울특별시 중구 소파로 97,37.55662898,126.985664183
V02Q1940780,서울특별시 중구 덕수궁길 15,37.564698899,126.975981023
V02Q1940571,서울특별시 용산구 두텁바위로1길 57,37.546504106,126.975236492
V02Q1940523,서울특별시 용산구 보광로7길 38,37.52570799,126.999222183
V02Q1940726,서울특별시 용산구 새창로12길 11-7,37.539012287,126.957917034
V02Q1940651,서울특별시 용산구 신흥로20길 9,37.546239741,126.984790146
V02Q1940574,서울특별시 용산구 원효로 210-16,37.537191941,126.9656751
V02Q1940595,서울특별시 용산구 효창원로8길 3,37.534418731,126.9513911
V02Q1940572,서울측별시 용산구 이촌동 301-156,37.521117972,126.97179047
V02Q1940600,서울특별시 용산구 이촌로22길 13-22,37.52444602,126.956842648
V02Q1940648,서울특별시 용산구 우사단로 25,37.532294579,126.995986461
V02Q1940686,서울특별시 용산구 회나무로13나길 21,37.541371627,126.991128742
V02Q1940637,서울특별시 용산구 서빙고로 35,37.525447033,126.968845768
V02Q1940698,서울특별시 용산구 대사관로7길 12,37.534626724,127.000735898
V02Q1940525,서울측별시울 용산구 효창동 5-127,37.542265658,126.960760204
V02Q1940584,서울특별시 용산구 후암로28길 11,37.549955116,126.978020139
